API_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
9997821,347.38900000000007,0.21039999999999948,107.05000000000001,0,7,3,0,2,0.7857142857142857,23,0,0,2,1,0,0,0,2,0,0,0
10034073,1058.052,6.234400000000012,266.6599999999999,7,18,13,1,4,0.6346153846153846,72,0,0,3,0,0,0,2,8,0,2,0
10077129,590.6700000000003,4.976700000000004,152.12,3,7,5,2,5,0.4827586206896552,41,0,1,1,1,0,0,0,2,0,1,0
10096344,472.5530000000002,1.1474200000000006,116.85999999999999,1,7,4,4,5,0.4,35,1,0,0,0,0,0,0,0,0,0,0
10130337,194.23399999999995,0.6517000000000002,78.34,2,3,4,1,1,0.3,14,2,0,0,1,0,0,0,1,0,0,0
10158453,409.91000000000014,4.312800000000005,46.61,0,5,5,2,4,0.4,27,0,0,1,0,0,1,0,1,0,2,0
10174505,504.5000000000004,0.2962800000000024,221.03999999999996,5,9,8,2,3,0.5,36,0,1,0,1,0,0,0,0,0,0,3
10176082,78.00300000000001,-0.9111999999999998,90.0,0,3,0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0
10182969,459.5060000000003,2.6996,110.76,1,5,5,3,5,0.28,34,1,0,0,3,0,0,0,1,0,0,0
10220503,245.32199999999995,2.2512,38.33,1,2,4,1,3,0.5333333333333333,18,0,1,0,1,0,0,0,1,0,0,0
10288191,441.23200000000014,3.0113,88.41000000000001,3,5,6,3,3,0.17647058823529413,27,0,2,0,1,0,0,0,0,0,3,0
10324367,519.6870000000005,1.711200000000003,150.70000000000002,4,5,8,0,3,0.8148148148148148,37,1,3,0,5,0,1,0,0,0,0,0
10348973,623.6420000000002,3.7505000000000015,132.61,2,9,9,5,5,0.20689655172413793,44,0,2,0,2,0,0,0,1,0,2,0
10472693,344.492,4.4699000000000035,94.83,3,3,14,0,0,0.8947368421052632,24,0,0,0,0,0,0,0,0,0,0,2
11001318,308.12,4.4998000000000005,63.33,1,3,2,3,3,0.0,20,0,0,0,0,0,0,0,0,0,2,1
11167602,482.8210000000001,5.688800000000001,92.35,3,4,5,3,3,0.09523809523809523,33,0,3,0,3,0,0,0,1,0,5,0
11237860,529.1500000000003,4.677600000000005,56.75,0,6,5,2,7,0.6785714285714286,36,0,0,0,2,0,0,0,0,0,1,0
11250029,569.6620000000001,4.159040000000001,164.63000000000002,4,6,11,4,4,0.25,42,2,1,0,2,0,0,0,1,0,0,1
11251522,880.9980000000002,5.98600000000001,186.95999999999998,4,10,16,6,8,0.28,63,0,0,0,0,0,0,0,0,0,2,2
11274333,789.8390000000003,7.886100000000009,115.81,3,5,10,4,6,0.35,55,0,2,0,2,0,0,0,0,0,6,0
